CPU Utilization: 100%
Cores used: 4
Cores available: 0

-------------------------------------
Running processes:
p303640    (06/28/2025 10:15:22PM)  Core: 1   1704 / 1815

Finished processes:
p1         (06/28/2025 10:15:20PM)  Finished   1041 / 1041
p2         (06/28/2025 10:15:20PM)  Finished   1041 / 1041
p3         (06/28/2025 10:15:20PM)  Finished   1449 / 1449
p4         (06/28/2025 10:15:20PM)  Finished   1328 / 1328
p5         (06/28/2025 10:15:20PM)  Finished   1474 / 1474
p6         (06/28/2025 10:15:20PM)  Finished   1150 / 1150
p7         (06/28/2025 10:15:20PM)  Finished   1709 / 1709
p8         (06/28/2025 10:15:20PM)  Finished   1467 / 1467
p9         (06/28/2025 10:15:20PM)  Finished   1329 / 1329
p10        (06/28/2025 10:15:20PM)  Finished   1936 / 1936
p11        (06/28/2025 10:15:20PM)  Finished   1440 / 1440
p12        (06/28/2025 10:15:20PM)  Finished   1700 / 1700
p13        (06/28/2025 10:15:20PM)  Finished   1117 / 1117
p14        (06/28/2025 10:15:20PM)  Finished   1258 / 1258
p15        (06/28/2025 10:15:20PM)  Finished   1811 / 1811
p16        (06/28/2025 10:15:20PM)  Finished   1952 / 1952
p17        (06/28/2025 10:15:20PM)  Finished   1491 / 1491
p18        (06/28/2025 10:15:20PM)  Finished   1993 / 1993
p19        (06/28/2025 10:15:20PM)  Finished   1931 / 1931
p20        (06/28/2025 10:15:20PM)  Finished   1823 / 1823
p21        (06/28/2025 10:15:20PM)  Finished   1431 / 1431
p22        (06/28/2025 10:15:20PM)  Finished   1359 / 1359
p23        (06/28/2025 10:15:20PM)  Finished   1590 / 1590
p24        (06/28/2025 10:15:20PM)  Finished   1899 / 1899
p25        (06/28/2025 10:15:20PM)  Finished   1153 / 1153
p26        (06/28/2025 10:15:20PM)  Finished   1292 / 1292
p27        (06/28/2025 10:15:20PM)  Finished   1370 / 1370
p28        (06/28/2025 10:15:20PM)  Finished   1404 / 1404
p29        (06/28/2025 10:15:20PM)  Finished   1698 / 1698
p30        (06/28/2025 10:15:20PM)  Finished   1699 / 1699
p31        (06/28/2025 10:15:20PM)  Finished   1876 / 1876
p32        (06/28/2025 10:15:20PM)  Finished   1442 / 1442
p33        (06/28/2025 10:15:20PM)  Finished   1705 / 1705
p34        (06/28/2025 10:15:20PM)  Finished   1757 / 1757
p35        (06/28/2025 10:15:20PM)  Finished   1527 / 1527
p36        (06/28/2025 10:15:20PM)  Finished   1868 / 1868
p37        (06/28/2025 10:15:20PM)  Finished   1893 / 1893
p38        (06/28/2025 10:15:20PM)  Finished   1642 / 1642
p39        (06/28/2025 10:15:20PM)  Finished   1273 / 1273
p40        (06/28/2025 10:15:20PM)  Finished   1018 / 1018
p41        (06/28/2025 10:15:20PM)  Finished   1885 / 1885
p42        (06/28/2025 10:15:20PM)  Finished   1675 / 1675
p43        (06/28/2025 10:15:20PM)  Finished   1788 / 1788
p44        (06/28/2025 10:15:20PM)  Finished   1291 / 1291
p45        (06/28/2025 10:15:20PM)  Finished   1303 / 1303
p46        (06/28/2025 10:15:20PM)  Finished   1656 / 1656
p47        (06/28/2025 10:15:20PM)  Finished   1660 / 1660
p48        (06/28/2025 10:15:20PM)  Finished   1126 / 1126
p49        (06/28/2025 10:15:20PM)  Finished   1704 / 1704
p50        (06/28/2025 10:15:20PM)  Finished   1225 / 1225
p51        (06/28/2025 10:15:20PM)  Finished   1862 / 1862
p52        (06/28/2025 10:15:20PM)  Finished   1522 / 1522
p53        (06/28/2025 10:15:20PM)  Finished   1617 / 1617
p54        (06/28/2025 10:15:20PM)  Finished   1630 / 1630
